state_clean,district_clean,date,total_biometric
Gujarat,Bhavnagar,2025-09,11263
Gujarat,Bhavnagar,2025-10,3038
Gujarat,Bhavnagar,2025-11,10565
Gujarat,Bhavnagar,2025-12,13571
Gujarat,Botad,2025-03,2178
Gujarat,Botad,2025-04,1545
Gujarat,Botad,2025-05,2122
Gujarat,Botad,2025-06,2487
Gujarat,Botad,2025-07,3299
Gujarat,Botad,2025-09,1342
Gujarat,Botad,2025-10,365
Gujarat,Botad,2025-11,1101
Gujarat,Botad,2025-12,1613
Gujarat,Chhotaudepur,2025-03,3350
Gujarat,Chhotaudepur,2025-04,4683
Gujarat,Chhotaudepur,2025-05,6682
Gujarat,Chhotaudepur,2025-06,4580
Gujarat,Chhotaudepur,2025-07,5671
Gujarat,Chhotaudepur,2025-09,3025
Gujarat,Chhotaudepur,2025-10,655
Gujarat,Chhotaudepur,2025-11,1852
Gujarat,Chhotaudepur,2025-12,2876
Gujarat,Dahod,2025-03,14189
Gujarat,Dahod,2025-04,15931
Gujarat,Dahod,2025-05,15232
Gujarat,Dahod,2025-06,14898
Gujarat,Dahod,2025-07,20453
Gujarat,Dahod,2025-09,11539
Gujarat,Dahod,2025-10,2466
Gujarat,Dahod,2025-11,8274
Gujarat,Dahod,2025-12,11517
Gujarat,Devbhumi Dwarka,2025-03,2761
Gujarat,Devbhumi Dwarka,2025-04,3364
Gujarat,Devbhumi Dwarka,2025-05,3641
Gujarat,Devbhumi Dwarka,2025-06,3686
Gujarat,Devbhumi Dwarka,2025-07,3884
Gujarat,Devbhumi Dwarka,2025-09,1962
Gujarat,Devbhumi Dwarka,2025-10,490
Gujarat,Devbhumi Dwarka,2025-11,1305
Gujarat,Devbhumi Dwarka,2025-12,3995
Gujarat,Dohad,2025-03,1880
Gujarat,Dohad,2025-04,2355
Gujarat,Dohad,2025-05,1940
Gujarat,Dohad,2025-06,1796
Gujarat,Dohad,2025-07,2472
Gujarat,Dohad,2025-09,1569
Gujarat,Dohad,2025-10,412
Gujarat,Dohad,2025-11,1359
Gujarat,Dohad,2025-12,1689
Gujarat,Gandhinagar,2025-03,10178
Gujarat,Gandhinagar,2025-04,9207
Gujarat,Gandhinagar,2025-05,11676
Gujarat,Gandhinagar,2025-06,12066
Gujarat,Gandhinagar,2025-07,13251
Gujarat,Gandhinagar,2025-09,6072
Gujarat,Gandhinagar,2025-10,1354
Gujarat,Gandhinagar,2025-11,4874
Gujarat,Gandhinagar,2025-12,7040
Gujarat,Gir Somnath,2025-03,4281
Gujarat,Gir Somnath,2025-04,4160
Gujarat,Gir Somnath,2025-05,4425
Gujarat,Gir Somnath,2025-06,4722
Gujarat,Gir Somnath,2025-07,6640
Gujarat,Gir Somnath,2025-09,2626
Gujarat,Gir Somnath,2025-10,928
Gujarat,Gir Somnath,2025-11,2459
Gujarat,Gir Somnath,2025-12,5949
Gujarat,Jamnagar,2025-03,10009
Gujarat,Jamnagar,2025-04,8705
Gujarat,Jamnagar,2025-05,14268
Gujarat,Jamnagar,2025-06,11962
Gujarat,Jamnagar,2025-07,11917
Gujarat,Jamnagar,2025-09,6215
Gujarat,Jamnagar,2025-10,1959
Gujarat,Jamnagar,2025-11,5619
Gujarat,Jamnagar,2025-12,9145
Gujarat,Junagadh,2025-03,11933
Gujarat,Junagadh,2025-04,11199
Gujarat,Junagadh,2025-05,13599
Gujarat,Junagadh,2025-06,14159
Gujarat,Junagadh,2025-07,18275
Gujarat,Junagadh,2025-09,8236
Gujarat,Junagadh,2025-10,2651
Gujarat,Junagadh,2025-11,7706
Gujarat,Junagadh,2025-12,13527
Gujarat,Kachchh,2025-03,16282
Gujarat,Kachchh,2025-04,16204
Gujarat,Kachchh,2025-05,18781
Gujarat,Kachchh,2025-06,18708
Gujarat,Kachchh,2025-07,19913
Gujarat,Kachchh,2025-09,7321
Gujarat,Kachchh,2025-10,2945
Gujarat,Kachchh,2025-11,8277
Gujarat,Kachchh,2025-12,13673
Gujarat,Kheda,2025-03,16987
Gujarat,Kheda,2025-04,13803
Gujarat,Kheda,2025-05,14726
Gujarat,Kheda,2025-06,17183
Gujarat,Kheda,2025-07,19503
Gujarat,Kheda,2025-09,10796
Gujarat,Kheda,2025-10,2734
Gujarat,Kheda,2025-11,7692
Gujarat,Kheda,2025-12,11679
Gujarat,Mahesana,2025-03,12839
Gujarat,Mahesana,2025-04,9334
Gujarat,Mahesana,2025-05,12620
Gujarat,Mahesana,2025-06,14992
Gujarat,Mahesana,2025-07,19932
Gujarat,Mahesana,2025-09,8738
Gujarat,Mahesana,2025-10,2179
Gujarat,Mahesana,2025-11,6738
Gujarat,Mahesana,2025-12,11077
Gujarat,Mahisagar,2025-03,3807
Gujarat,Mahisagar,2025-04,3262
Gujarat,Mahisagar,2025-05,3817
Gujarat,Mahisagar,2025-06,4138
Gujarat,Mahisagar,2025-07,5685
Gujarat,Mahisagar,2025-09,2944
Gujarat,Mahisagar,2025-10,780
Gujarat,Mahisagar,2025-11,2041
Gujarat,Mahisagar,2025-12,3889
Gujarat,Morbi,2025-03,3509
Gujarat,Morbi,2025-04,4223
Gujarat,Morbi,2025-05,5639
Gujarat,Morbi,2025-06,4861
Gujarat,Morbi,2025-07,5266
Gujarat,Morbi,2025-09,2273
Gujarat,Morbi,2025-10,757
Gujarat,Morbi,2025-11,2185
Gujarat,Morbi,2025-12,2761
Gujarat,Narmada,2025-03,6608
Gujarat,Narmada,2025-04,5043
Gujarat,Narmada,2025-05,5388
Gujarat,Narmada,2025-06,5293
Gujarat,Narmada,2025-07,6520
Gujarat,Narmada,2025-09,3270
Gujarat,Narmada,2025-10,892
Gujarat,Narmada,2025-11,2233
Gujarat,Narmada,2025-12,3601
Gujarat,Navsari,2025-03,5048
Gujarat,Navsari,2025-04,5468
Gujarat,Navsari,2025-05,5644
Gujarat,Navsari,2025-06,5675
Gujarat,Navsari,2025-07,7768
Gujarat,Navsari,2025-09,4213
Gujarat,Navsari,2025-10,1527
Gujarat,Navsari,2025-11,4362
Gujarat,Navsari,2025-12,4950
Gujarat,Panchmahals,2025-03,13001
Gujarat,Panchmahals,2025-04,9989
Gujarat,Panchmahals,2025-05,11187
Gujarat,Panchmahals,2025-06,12259
Gujarat,Panchmahals,2025-07,18130
Gujarat,Panchmahals,2025-09,11001
Gujarat,Panchmahals,2025-10,3287
Gujarat,Panchmahals,2025-11,8151
Gujarat,Panchmahals,2025-12,15921
Gujarat,Patan,2025-03,7802
Gujarat,Patan,2025-04,8109
Gujarat,Patan,2025-05,9113
Gujarat,Patan,2025-06,10460
Gujarat,Patan,2025-07,15285
Gujarat,Patan,2025-09,6750
Gujarat,Patan,2025-10,1705
Gujarat,Patan,2025-11,4741
Gujarat,Patan,2025-12,8532
Gujarat,Porbandar,2025-03,4036
Gujarat,Porbandar,2025-04,3881
Gujarat,Porbandar,2025-05,5187
Gujarat,Porbandar,2025-06,5052
Gujarat,Porbandar,2025-07,5459
Gujarat,Porbandar,2025-09,2240
Gujarat,Porbandar,2025-10,747
Gujarat,Porbandar,2025-11,1539
Gujarat,Porbandar,2025-12,2467
Gujarat,Rajkot,2025-03,19813
Gujarat,Rajkot,2025-04,19458
Gujarat,Rajkot,2025-05,26960
Gujarat,Rajkot,2025-06,26230
Gujarat,Rajkot,2025-07,27646
Gujarat,Rajkot,2025-09,12751
Gujarat,Rajkot,2025-10,4567
Gujarat,Rajkot,2025-11,12147
Gujarat,Rajkot,2025-12,16852
Gujarat,Sabarkantha,2025-03,10628
Gujarat,Sabarkantha,2025-04,10658
Gujarat,Sabarkantha,2025-05,11694
Gujarat,Sabarkantha,2025-06,11084
Gujarat,Sabarkantha,2025-07,17740
Gujarat,Sabarkantha,2025-09,9317
Gujarat,Sabarkantha,2025-10,2153
Gujarat,Sabarkantha,2025-11,5833
Gujarat,Sabarkantha,2025-12,10587
Gujarat,Surat,2025-03,34095
Gujarat,Surat,2025-04,37431
Gujarat,Surat,2025-05,42415
Gujarat,Surat,2025-06,33144
Gujarat,Surat,2025-07,40685
Gujarat,Surat,2025-09,21278
Gujarat,Surat,2025-10,9720
Gujarat,Surat,2025-11,27956
Gujarat,Surat,2025-12,29961
Gujarat,Surendra Nagar,2025-03,14712
Gujarat,Surendra Nagar,2025-04,11671
Gujarat,Surendra Nagar,2025-05,13840
Gujarat,Surendra Nagar,2025-06,13393
Gujarat,Surendra Nagar,2025-07,16623
Gujarat,Surendra Nagar,2025-09,7929
Gujarat,Surendra Nagar,2025-10,2147
Gujarat,Surendra Nagar,2025-11,5808
Gujarat,Surendra Nagar,2025-12,8778
Gujarat,Tapi,2025-03,5677
Gujarat,Tapi,2025-04,5851
Gujarat,Tapi,2025-05,5071
Gujarat,Tapi,2025-06,4185
Gujarat,Tapi,2025-07,5635
Gujarat,Tapi,2025-09,3812
Gujarat,Tapi,2025-10,1163
Gujarat,Tapi,2025-11,2915
Gujarat,Tapi,2025-12,5059
Gujarat,The Dangs,2025-03,4101
Gujarat,The Dangs,2025-04,4575
Gujarat,The Dangs,2025-05,4902
Gujarat,The Dangs,2025-06,3198
Gujarat,The Dangs,2025-07,4202
Gujarat,The Dangs,2025-09,2656
Gujarat,The Dangs,2025-10,630
Gujarat,The Dangs,2025-11,1327
Gujarat,The Dangs,2025-12,2004
Gujarat,Vadodara,2025-03,25074
Gujarat,Vadodara,2025-04,21797
Gujarat,Vadodara,2025-05,27318
Gujarat,Vadodara,2025-06,27545
Gujarat,Vadodara,2025-07,34689
Gujarat,Vadodara,2025-09,16399
Gujarat,Vadodara,2025-10,5273
Gujarat,Vadodara,2025-11,17126
Gujarat,Vadodara,2025-12,23115
Gujarat,Valsad,2025-03,11650
Gujarat,Valsad,2025-04,10784
Gujarat,Valsad,2025-05,10734
Gujarat,Valsad,2025-06,10083
Gujarat,Valsad,2025-07,13391
Gujarat,Valsad,2025-09,8515
Gujarat,Valsad,2025-10,2515
Gujarat,Valsad,2025-11,6604
Gujarat,Valsad,2025-12,8541
Haryana,Akhera,2025-11,1
Haryana,Ambala,2025-03,9626
Haryana,Ambala,2025-04,11147
Haryana,Ambala,2025-05,8179
Haryana,Ambala,2025-06,7486
Haryana,Ambala,2025-07,12189
Haryana,Ambala,2025-09,5358
Haryana,Ambala,2025-10,3217
Haryana,Ambala,2025-11,6458
Haryana,Ambala,2025-12,7640
Haryana,Bhiwani,2025-03,12204
Haryana,Bhiwani,2025-04,12196
Haryana,Bhiwani,2025-05,10516
Haryana,Bhiwani,2025-06,11005
Haryana,Bhiwani,2025-07,16803
Haryana,Bhiwani,2025-09,7171
Haryana,Bhiwani,2025-10,5104
Haryana,Bhiwani,2025-11,7752
Haryana,Bhiwani,2025-12,10760
Haryana,Charkhi Dadri,2025-03,1095
Haryana,Charkhi Dadri,2025-04,1100
Haryana,Charkhi Dadri,2025-05,1141
Haryana,Charkhi Dadri,2025-06,1350
Haryana,Charkhi Dadri,2025-07,1743
Haryana,Charkhi Dadri,2025-09,664
Haryana,Charkhi Dadri,2025-10,521
Haryana,Charkhi Dadri,2025-11,816
Haryana,Charkhi Dadri,2025-12,1134
Haryana,Faridabad,2025-03,13881
Haryana,Faridabad,2025-04,15025
Haryana,Faridabad,2025-05,11031
Haryana,Faridabad,2025-06,11404
Haryana,Faridabad,2025-07,20448
Haryana,Faridabad,2025-09,10130
Haryana,Faridabad,2025-10,6417
Haryana,Faridabad,2025-11,13336
Haryana,Faridabad,2025-12,14328
Haryana,Fatehabad,2025-03,9730
Haryana,Fatehabad,2025-04,10656
Haryana,Fatehabad,2025-05,6750
Haryana,Fatehabad,2025-06,6116
Haryana,Fatehabad,2025-07,10242
Haryana,Fatehabad,2025-09,5520
Haryana,Fatehabad,2025-10,5081
Haryana,Fatehabad,2025-11,6048
Haryana,Fatehabad,2025-12,7707
Haryana,Gurgaon,2025-03,8400
Haryana,Gurgaon,2025-04,8888
Haryana,Gurgaon,2025-05,8197
Haryana,Gurgaon,2025-06,8133
Haryana,Gurgaon,2025-07,9419
Haryana,Gurgaon,2025-09,5747
Haryana,Gurgaon,2025-10,4119
Haryana,Gurgaon,2025-11,7411
Haryana,Gurgaon,2025-12,8887
Haryana,Hisar,2025-03,11762
Haryana,Hisar,2025-04,15266
Haryana,Hisar,2025-05,12338
Haryana,Hisar,2025-06,11192
Haryana,Hisar,2025-07,22344
Haryana,Hisar,2025-09,8488
Haryana,Hisar,2025-10,8081
Haryana,Hisar,2025-11,11792
Haryana,Hisar,2025-12,12260
Haryana,Jhajjar,2025-03,6284
Haryana,Jhajjar,2025-04,7065
Haryana,Jhajjar,2025-05,5753
Haryana,Jhajjar,2025-06,6131
Haryana,Jhajjar,2025-07,10148
Haryana,Jhajjar,2025-09,4776
Haryana,Jhajjar,2025-10,3316
Haryana,Jhajjar,2025-11,5431
Haryana,Jhajjar,2025-12,6545
Haryana,Jind,2025-03,10674
Haryana,Jind,2025-04,12534
Haryana,Jind,2025-05,9678
Haryana,Jind,2025-06,9915
Haryana,Jind,2025-07,12814
Haryana,Jind,2025-09,8398
Haryana,Jind,2025-10,5422
Haryana,Jind,2025-11,8259
Haryana,Jind,2025-12,11627
Haryana,Kaithal,2025-03,9592
Haryana,Kaithal,2025-04,10525
Haryana,Kaithal,2025-05,8225
Haryana,Kaithal,2025-06,8030
Haryana,Kaithal,2025-07,16538
Haryana,Kaithal,2025-09,7443
Haryana,Kaithal,2025-10,3913
Haryana,Kaithal,2025-11,6204
Haryana,Kaithal,2025-12,8010
Haryana,Karnal,2025-03,11625
Haryana,Karnal,2025-04,14196
Haryana,Karnal,2025-05,10150
Haryana,Karnal,2025-06,9013
Haryana,Karnal,2025-07,13543
Haryana,Karnal,2025-09,8612
Haryana,Karnal,2025-10,5219
Haryana,Karnal,2025-11,9160
Haryana,Karnal,2025-12,11078
Haryana,Kurukshetra,2025-03,9427
Haryana,Kurukshetra,2025-04,11007
Haryana,Kurukshetra,2025-05,7892
Haryana,Kurukshetra,2025-06,6406
Haryana,Kurukshetra,2025-07,9917
Haryana,Kurukshetra,2025-09,6249
Haryana,Kurukshetra,2025-10,3301
Haryana,Kurukshetra,2025-11,6463
Haryana,Kurukshetra,2025-12,7693
Haryana,Mahendragarh,2025-03,5013
Haryana,Mahendragarh,2025-04,5022
Haryana,Mahendragarh,2025-05,4691
Haryana,Mahendragarh,2025-06,5909
Haryana,Mahendragarh,2025-07,7232
Haryana,Mahendragarh,2025-09,4487
Haryana,Mahendragarh,2025-10,3156
Haryana,Mahendragarh,2025-11,4846
Haryana,Mahendragarh,2025-12,7020
Haryana,Mewat,2025-03,5497
Haryana,Mewat,2025-04,6218
Haryana,Mewat,2025-05,6181
Haryana,Mewat,2025-06,4366
Haryana,Mewat,2025-07,9329
Haryana,Mewat,2025-09,11347
Haryana,Mewat,2025-10,5692
Haryana,Mewat,2025-11,7803
Haryana,Mewat,2025-12,10423
Haryana,Palwal,2025-03,5695
Haryana,Palwal,2025-04,6242
Haryana,Palwal,2025-05,5678
Haryana,Palwal,2025-06,5219
Haryana,Palwal,2025-07,8941
Haryana,Palwal,2025-09,6697
Haryana,Palwal,2025-10,3745
Haryana,Palwal,2025-11,6195
Haryana,Palwal,2025-12,8659
Haryana,Panchkula,2025-03,4455
Haryana,Panchkula,2025-04,5774
Haryana,Panchkula,2025-05,4161
Haryana,Panchkula,2025-06,4141
Haryana,Panchkula,2025-07,6676
Haryana,Panchkula,2025-09,2393
Haryana,Panchkula,2025-10,1904
Haryana,Panchkula,2025-11,3360
Haryana,Panchkula,2025-12,3888
Haryana,Panipat,2025-03,9568
Haryana,Panipat,2025-04,10957
Haryana,Panipat,2025-05,7835
Haryana,Panipat,2025-06,7924
Haryana,Panipat,2025-07,13576
Haryana,Panipat,2025-09,6996
Haryana,Panipat,2025-10,4734
Haryana,Panipat,2025-11,7591
Haryana,Panipat,2025-12,9196
Haryana,Rewari,2025-03,5223
Haryana,Rewari,2025-04,4806
Haryana,Rewari,2025-05,4359
Haryana,Rewari,2025-06,5427
Haryana,Rewari,2025-07,10408
Haryana,Rewari,2025-09,4729
Haryana,Rewari,2025-10,3128
Haryana,Rewari,2025-11,4286
Haryana,Rewari,2025-12,6324
Haryana,Rohtak,2025-03,9953
Haryana,Rohtak,2025-04,11402
Haryana,Rohtak,2025-05,8567
Haryana,Rohtak,2025-06,8583
Haryana,Rohtak,2025-07,11162
Haryana,Rohtak,2025-09,6416
Haryana,Rohtak,2025-10,3941
Haryana,Rohtak,2025-11,6423
Haryana,Rohtak,2025-12,8251
Haryana,Sirsa,2025-03,11049
Haryana,Sirsa,2025-04,12290
Haryana,Sirsa,2025-05,9730
Haryana,Sirsa,2025-06,9475
Haryana,Sirsa,2025-07,17387
Haryana,Sirsa,2025-09,7452
Haryana,Sirsa,2025-10,6606
Haryana,Sirsa,2025-11,8780
Haryana,Sirsa,2025-12,12128
Haryana,Sonipat,2025-03,10626
Haryana,Sonipat,2025-04,12512
Haryana,Sonipat,2025-05,9873
Haryana,Sonipat,2025-06,9202
Haryana,Sonipat,2025-07,12353
Haryana,Sonipat,2025-09,7146
Haryana,Sonipat,2025-10,5009
Haryana,Sonipat,2025-11,7222
Haryana,Sonipat,2025-12,8919
Haryana,Yamuna Nagar,2025-03,9995
Haryana,Yamuna Nagar,2025-04,11814
Haryana,Yamuna Nagar,2025-05,9887
Haryana,Yamuna Nagar,2025-06,8845
Haryana,Yamuna Nagar,2025-07,14113
Haryana,Yamuna Nagar,2025-09,7450
Haryana,Yamuna Nagar,2025-10,4921
Haryana,Yamuna Nagar,2025-11,9005
Haryana,Yamuna Nagar,2025-12,11504
Himachal Pradesh,Bilaspur,2025-03,2962
Himachal Pradesh,Bilaspur,2025-04,2912
Himachal Pradesh,Bilaspur,2025-05,1861
Himachal Pradesh,Bilaspur,2025-06,1972
Himachal Pradesh,Bilaspur,2025-07,2886
Himachal Pradesh,Bilaspur,2025-09,1690
Himachal Pradesh,Bilaspur,2025-10,1917
Himachal Pradesh,Bilaspur,2025-11,2714
Himachal Pradesh,Bilaspur,2025-12,2468
Himachal Pradesh,Chamba,2025-03,5077
Himachal Pradesh,Chamba,2025-04,4530
Himachal Pradesh,Chamba,2025-05,2930
Himachal Pradesh,Chamba,2025-06,2926
Himachal Pradesh,Chamba,2025-07,3556
Himachal Pradesh,Chamba,2025-09,2441
Himachal Pradesh,Chamba,2025-10,2017
Himachal Pradesh,Chamba,2025-11,5495
Himachal Pradesh,Chamba,2025-12,3902
Himachal Pradesh,Hamirpur,2025-03,3333
Himachal Pradesh,Hamirpur,2025-04,2709
Himachal Pradesh,Hamirpur,2025-05,1620
Himachal Pradesh,Hamirpur,2025-06,2424
Himachal Pradesh,Hamirpur,2025-07,2921
Himachal Pradesh,Hamirpur,2025-09,2223
Himachal Pradesh,Hamirpur,2025-10,1960
Himachal Pradesh,Hamirpur,2025-11,3163
Himachal Pradesh,Hamirpur,2025-12,2800
Himachal Pradesh,Kangra,2025-03,12593
Himachal Pradesh,Kangra,2025-04,10335
Himachal Pradesh,Kangra,2025-05,6961
Himachal Pradesh,Kangra,2025-06,8576
Himachal Pradesh,Kangra,2025-07,10778
Himachal Pradesh,Kangra,2025-09,7348
Himachal Pradesh,Kangra,2025-10,7093
Himachal Pradesh,Kangra,2025-11,11818
Himachal Pradesh,Kangra,2025-12,11985
Himachal Pradesh,Kinnaur,2025-03,395
Himachal Pradesh,Kinnaur,2025-04,587
Himachal Pradesh,Kinnaur,2025-05,334
Himachal Pradesh,Kinnaur,2025-06,389
Himachal Pradesh,Kinnaur,2025-07,849
Himachal Pradesh,Kinnaur,2025-09,265
Himachal Pradesh,Kinnaur,2025-10,392
Himachal Pradesh,Kinnaur,2025-11,677
Himachal Pradesh,Kinnaur,2025-12,414
Himachal Pradesh,Kullu,2025-03,2690
Himachal Pradesh,Kullu,2025-04,3386
Himachal Pradesh,Kullu,2025-05,1741
Himachal Pradesh,Kullu,2025-06,2114
Himachal Pradesh,Kullu,2025-07,2378
Himachal Pradesh,Kullu,2025-09,875
Himachal Pradesh,Kullu,2025-10,1777
Himachal Pradesh,Kullu,2025-11,2901
Himachal Pradesh,Kullu,2025-12,2737
Himachal Pradesh,Lahul and Spiti,2025-06,204
Himachal Pradesh,Lahul and Spiti,2025-07,54
Himachal Pradesh,Lahul and Spiti,2025-09,185
Himachal Pradesh,Lahul and Spiti,2025-10,201
Himachal Pradesh,Lahul and Spiti,2025-11,269
Himachal Pradesh,Lahul and Spiti,2025-12,425
Himachal Pradesh,Mandi,2025-03,8713
Himachal Pradesh,Mandi,2025-04,8847
Himachal Pradesh,Mandi,2025-05,4996
Himachal Pradesh,Mandi,2025-06,6707
Himachal Pradesh,Mandi,2025-07,7735
Himachal Pradesh,Mandi,2025-09,4620
Himachal Pradesh,Mandi,2025-10,5683
Himachal Pradesh,Mandi,2025-11,7644
Himachal Pradesh,Mandi,2025-12,6478
Himachal Pradesh,Shimla,2025-03,5057
Himachal Pradesh,Shimla,2025-04,5270
Himachal Pradesh,Shimla,2025-05,3201
Himachal Pradesh,Shimla,2025-06,3594
Himachal Pradesh,Shimla,2025-07,4981
Himachal Pradesh,Shimla,2025-09,2913
Himachal Pradesh,Shimla,2025-10,3706
Himachal Pradesh,Shimla,2025-11,5661
Himachal Pradesh,Shimla,2025-12,4140
Himachal Pradesh,Sirmaur,2025-03,6186
Himachal Pradesh,Sirmaur,2025-04,5214
Himachal Pradesh,Sirmaur,2025-05,2700
Himachal Pradesh,Sirmaur,2025-06,3433
Himachal Pradesh,Sirmaur,2025-07,3947
Himachal Pradesh,Sirmaur,2025-09,2115
Himachal Pradesh,Sirmaur,2025-10,1711
Himachal Pradesh,Sirmaur,2025-11,2764
Himachal Pradesh,Sirmaur,2025-12,2810
Himachal Pradesh,Solan,2025-03,4088
Himachal Pradesh,Solan,2025-04,4521
Himachal Pradesh,Solan,2025-05,3173
Himachal Pradesh,Solan,2025-06,3480
Himachal Pradesh,Solan,2025-07,4476
Himachal Pradesh,Solan,2025-09,2220
Himachal Pradesh,Solan,2025-10,2699
Himachal Pradesh,Solan,2025-11,3951
Himachal Pradesh,Solan,2025-12,4058
Himachal Pradesh,Una,2025-03,4358
Himachal Pradesh,Una,2025-04,3730
Himachal Pradesh,Una,2025-05,2537
Himachal Pradesh,Una,2025-06,3120
Himachal Pradesh,Una,2025-07,3853
Himachal Pradesh,Una,2025-09,2858
Himachal Pradesh,Una,2025-10,2875
Himachal Pradesh,Una,2025-11,3303
Himachal Pradesh,Una,2025-12,4003
Jammu and Kashmir,?,2025-11,1
Jammu and Kashmir,Anantnag,2025-03,5281
Jammu and Kashmir,Anantnag,2025-04,4910
Jammu and Kashmir,Anantnag,2025-05,5008
Jammu and Kashmir,Anantnag,2025-06,4596
Jammu and Kashmir,Anantnag,2025-07,5825
Jammu and Kashmir,Anantnag,2025-09,2727
Jammu and Kashmir,Anantnag,2025-10,2902
Jammu and Kashmir,Anantnag,2025-11,4033
Jammu and Kashmir,Anantnag,2025-12,11099
Jammu and Kashmir,Badgam,2025-03,2032
Jammu and Kashmir,Badgam,2025-04,1760
Jammu and Kashmir,Badgam,2025-05,1537
Jammu and Kashmir,Badgam,2025-06,1584
Jammu and Kashmir,Badgam,2025-07,1893
Jammu and Kashmir,Badgam,2025-09,1007
Jammu and Kashmir,Badgam,2025-10,987
Jammu and Kashmir,Badgam,2025-11,1167
Jammu and Kashmir,Badgam,2025-12,1931
Jammu and Kashmir,Bandipore,2025-03,2602
Jammu and Kashmir,Bandipore,2025-04,2691
Jammu and Kashmir,Bandipore,2025-05,2272
Jammu and Kashmir,Bandipore,2025-06,1832
Jammu and Kashmir,Bandipore,2025-07,3124
Jammu and Kashmir,Bandipore,2025-09,1528
Jammu and Kashmir,Bandipore,2025-10,1229
Jammu and Kashmir,Bandipore,2025-11,1204
Jammu and Kashmir,Bandipore,2025-12,3352
Jammu and Kashmir,Bandipur,2025-11,1
Jammu and Kashmir,Baramula,2025-03,7898
Jammu and Kashmir,Baramula,2025-04,8469
Jammu and Kashmir,Baramula,2025-05,6123
Jammu and Kashmir,Baramula,2025-06,5541
Jammu and Kashmir,Baramula,2025-07,8481
Jammu and Kashmir,Baramula,2025-09,4780
Jammu and Kashmir,Baramula,2025-10,3391
Jammu and Kashmir,Baramula,2025-11,6866
Jammu and Kashmir,Baramula,2025-12,8794
Jammu and Kashmir,Budgam,2025-03,2396
Jammu and Kashmir,Budgam,2025-04,2403
Jammu and Kashmir,Budgam,2025-05,2620
Jammu and Kashmir,Budgam,2025-06,3431
Jammu and Kashmir,Budgam,2025-07,2787
Jammu and Kashmir,Budgam,2025-09,1574
Jammu and Kashmir,Budgam,2025-10,1711
Jammu and Kashmir,Budgam,2025-11,2261
Jammu and Kashmir,Budgam,2025-12,3366
Jammu and Kashmir,Doda,2025-03,4639
Jammu and Kashmir,Doda,2025-04,3977
Jammu and Kashmir,Doda,2025-05,3907
Jammu and Kashmir,Doda,2025-06,3744
Jammu and Kashmir,Doda,2025-07,4410
Jammu and Kashmir,Doda,2025-09,1142
Jammu and Kashmir,Doda,2025-10,3309
Jammu and Kashmir,Doda,2025-11,5393
Jammu and Kashmir,Doda,2025-12,4959
Jammu and Kashmir,Ganderbal,2025-03,1831
Jammu and Kashmir,Ganderbal,2025-04,1818
Jammu and Kashmir,Ganderbal,2025-05,1370
Jammu and Kashmir,Ganderbal,2025-06,1126
Jammu and Kashmir,Ganderbal,2025-07,1576
Jammu and Kashmir,Ganderbal,2025-09,783
Jammu and Kashmir,Ganderbal,2025-10,682
Jammu and Kashmir,Ganderbal,2025-11,1440
Jammu and Kashmir,Ganderbal,2025-12,2574
Jammu and Kashmir,Jammu,2025-03,11798
Jammu and Kashmir,Jammu,2025-04,10167
Jammu and Kashmir,Jammu,2025-05,9278
Jammu and Kashmir,Jammu,2025-06,10733
Jammu and Kashmir,Jammu,2025-07,13403
Jammu and Kashmir,Jammu,2025-09,7885
Jammu and Kashmir,Jammu,2025-10,9914
Jammu and Kashmir,Jammu,2025-11,11508
Jammu and Kashmir,Jammu,2025-12,11495
Jammu and Kashmir,Kargil,2025-03,369
Jammu and Kashmir,Kargil,2025-04,362
Jammu and Kashmir,Kargil,2025-05,189
Jammu and Kashmir,Kargil,2025-06,106
Jammu and Kashmir,Kargil,2025-07,194
Jammu and Kashmir,Kargil,2025-09,505
Jammu and Kashmir,Kargil,2025-10,288
Jammu and Kashmir,Kargil,2025-11,328
Jammu and Kashmir,Kargil,2025-12,474
Jammu and Kashmir,Kathua,2025-03,4721
Jammu and Kashmir,Kathua,2025-04,4325
Jammu and Kashmir,Kathua,2025-05,4113
Jammu and Kashmir,Kathua,2025-06,5227
Jammu and Kashmir,Kathua,2025-07,5584
Jammu and Kashmir,Kathua,2025-09,2506
Jammu and Kashmir,Kathua,2025-10,3245
Jammu and Kashmir,Kathua,2025-11,4518
Jammu and Kashmir,Kathua,2025-12,4962
Jammu and Kashmir,Kishtwar,2025-03,2619
Jammu and Kashmir,Kishtwar,2025-04,2663
Jammu and Kashmir,Kishtwar,2025-05,3437
Jammu and Kashmir,Kishtwar,2025-06,2596
Jammu and Kashmir,Kishtwar,2025-07,3075
Jammu and Kashmir,Kishtwar,2025-09,998
Jammu and Kashmir,Kishtwar,2025-10,1109
Jammu and Kashmir,Kishtwar,2025-11,1474
Jammu and Kashmir,Kishtwar,2025-12,2590
Jammu and Kashmir,Kulgam,2025-03,3491
Jammu and Kashmir,Kulgam,2025-04,3432
Jammu and Kashmir,Kulgam,2025-05,2877
Jammu and Kashmir,Kulgam,2025-06,3315
Jammu and Kashmir,Kulgam,2025-07,3761
Jammu and Kashmir,Kulgam,2025-09,1551
Jammu and Kashmir,Kulgam,2025-10,1471
Jammu and Kashmir,Kulgam,2025-11,2109
